DocId,phase,occupation,occupation_code,level,level_code,year,step,year_source,month,end,profile,position,Institution,sublevel,category_final,sector_code,Code,category_main,category,city,province_country,area,area2,area_code
imh-11-254,POST-US,administrative,O2,Senior,L4,1914,4,1914,NA,NA,administrative,District Inspector,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Wuchang,Hubei,Other,Central,C1
imh-11-148,POST-US,administrative,O2,Mid-level,L3,1914,2,1913,NA,NA,administrative,Secretary,National Oil Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-193,POST-US,managerial,O3,Top Executive,L6,1909,5,NA,NA,NA,managerial,Vice-Director,Bureau of Printing and Engraving,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-193,POST-US,consulting-professional,O6,Senior,L4,1915,13,NA,NA,NA,consulting,Auditor-General,Central Audit Bureau,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-199,POST-US,administrative,O2,Mid-level,L3,1916,2,1916,NA,NA,administrative,Officer,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-202,POST-US,administrative,O2,Junior,L2,1914,2,1914,NA,1915,administrative,Assistant English Secretary and Translator,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-218,POST-US,administrative,O2,Mid-level,L3,1915,2,1915,NA,NA,administrative,Secretary,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-218,POST-US,administrative,O2,Senior,L4,1916,3,1915,NA,NA,administrative,Chief Translator,Salt Revenues Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-228,POST-US,technical,O5,Mid-level,L3,1914,3,1914,NA,NA,technical,Technical Expert,Bureau of Agriculture and Forestry,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-228,POST-US,managerial,O3,Senior,L4,1914,4,1914,NA,NA,managerial,Chief of Division,Bureau of Agriculture and Forestry,Division of Investigation,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-247,POST-US,administrative,O2,Mid-level,L3,1916,2,1916,NA,NA,administrative,Translator,Central Salt Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-261,POST-US,administrative,O2,Mid-level,L3,1915,1,1915,NA,NA,administrative,Officer,Salt Revenues Administration,Production Department,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-271,POST-US,official,O4,Senior,L4,1916,15,1916,NA,NA,official,Examiner,High Civil Service Examinations,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-28,POST-US,official,O4,Mid-level,L3,1914,1,1914,NA,1915,representative,Deputy,National Oil Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-297,POST-US,administrative,O2,Mid-level,L3,1914,1,1914,NA,1916,administrative,Officer,National Oil Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
imh-11-304,POST-US,administrative,O2,Mid-level,L3,1913,3,1913,NA,1916,administrative,English Secretary,National Oil Administration,NA,administration: central,ADMC,ADMC,administration,administration: central,Beijing,Hebei,Beijing-Tianjin,Beijing,N1
