DocId,Degree_zh,Degree_eng,n,Highest
imh-11-103,學士,Bachelor,5,
imh-11-103,學士,Bachelor,5,
imh-11-112,學士,Bachelor,5,
imh-11-112,學士,Bachelor,5,
imh-11-211,學士,Bachelor,4,
imh-11-211,學士,Bachelor,4,
imh-11-378,學士,Bachelor,4,
imh-11-378,學士,Bachelor,4,
imh-11-397,學士,Bachelor,4,
imh-11-42,學士,Bachelor,4,
imh-11-42,學士,Bachelor,4,
imh-11-109,學士,Bachelor,3,
imh-11-109,學士,Bachelor,3,
imh-11-137,學士,Bachelor,3,
imh-11-143,學士,Bachelor,3,
imh-11-153,學士,Bachelor,3,
imh-11-153,學士,Bachelor,3,
imh-11-159,學士,Bachelor,3,
imh-11-163,學士,Bachelor,3,
imh-11-163,學士,Bachelor,3,
imh-11-204,學士,Bachelor,3,
imh-11-219,學士,Bachelor,3,
imh-11-219,學士,Bachelor,3,Bachelor
imh-11-227,學士,Bachelor,3,
imh-11-234,學士,Bachelor,3,
imh-11-245,學士,Bachelor,3,
imh-11-245,學士,Bachelor,3,
imh-11-268,學士,Bachelor,3,
imh-11-268,學士,Bachelor,3,
imh-11-27,學士,Bachelor,3,
imh-11-289,學士,Bachelor,3,
imh-11-29,學士,Bachelor,3,
imh-11-298,學士,Bachelor,3,
imh-11-305,學士,Bachelor,3,
imh-11-325,學士,Bachelor,3,
imh-11-346,學士,Bachelor,3,
imh-11-363,學士,Bachelor,3,
imh-11-369,學士,Bachelor,3,
imh-11-369,學士,Bachelor,3,
imh-11-372,學士,Bachelor,3,
imh-11-374,學士,Bachelor,3,
imh-11-374,學士,Bachelor,3,
imh-11-385,學士,Bachelor,3,
imh-11-386,學士,Bachelor,3,
imh-11-395,學士,Bachelor,3,
imh-11-51,學士,Bachelor,3,
imh-11-51,學士,Bachelor,3,
imh-11-76,學士,Bachelor,3,
imh-11-82,學士,Bachelor,3,
imh-11-93,學士,Bachelor,3,
imh-11-1,學士,Bachelor,2,
imh-11-101,學士,Bachelor,2,
imh-11-102,學士,Bachelor,2,
imh-11-108,學士,Bachelor,2,
imh-11-114,學士,Bachelor,2,
imh-11-115,學士,Bachelor,2,
imh-11-116,學士,Bachelor,2,
imh-11-118,學士,Bachelor,2,
imh-11-118,學士,Bachelor,2,Bachelor
imh-11-12,學士,Bachelor,2,
imh-11-127,學士,Bachelor,2,
imh-11-132,學士,Bachelor,2,
imh-11-133,學士,Bachelor,2,
imh-11-135,學士,Bachelor,2,
imh-11-138,學士,Bachelor,2,Bachelor
imh-11-139,學士,Bachelor,2,
imh-11-145,學士,Bachelor,2,
imh-11-148,學士,Bachelor,2,Bachelor
imh-11-161,學士,Bachelor,2,
imh-11-164,學士,Bachelor,2,
imh-11-165,學士,Bachelor,2,
imh-11-167,學士,Bachelor,2,
imh-11-171,學士,Bachelor,2,
imh-11-181,學士,Bachelor,2,
imh-11-182,學士,Bachelor,2,
imh-11-184,學士,Bachelor,2,
imh-11-19,學士,Bachelor,2,
imh-11-195,學士,Bachelor,2,Bachelor
imh-11-196,學士,Bachelor,2,
imh-11-198,學士,Bachelor,2,
imh-11-201,學士,Bachelor,2,
imh-11-203,學士,Bachelor,2,
imh-11-212,學士,Bachelor,2,
imh-11-215,學士,Bachelor,2,
imh-11-22,學士,Bachelor,2,Bachelor
imh-11-222,學士,Bachelor,2,
imh-11-237,學士,Bachelor,2,
imh-11-251,學士,Bachelor,2,
imh-11-253,學士,Bachelor,2,
imh-11-257,學士,Bachelor,2,
imh-11-26,學士,Bachelor,2,
imh-11-26,學士,Bachelor,2,Bachelor
imh-11-260,學士,Bachelor,2,
imh-11-261,學士,Bachelor,2,Bachelor
imh-11-266,學士,Bachelor,2,
imh-11-269,學士,Bachelor,2,
imh-11-269,學士,Bachelor,2,Bachelor
imh-11-281,學士,Bachelor,2,
imh-11-284,學士,Bachelor,2,
imh-11-285,學士,Bachelor,2,
imh-11-286,學士,Bachelor,2,
imh-11-293,學士,Bachelor,2,
imh-11-293,學士,Bachelor,2,Bachelor
imh-11-295,學士,Bachelor,2,
imh-11-297,學士,Bachelor,2,
imh-11-297,學士,Bachelor,2,Bachelor
imh-11-299,學士,Bachelor,2,
imh-11-302,學士,Bachelor,2,
imh-11-31,學士,Bachelor,2,
imh-11-316,學士,Bachelor,2,
imh-11-318,學士,Bachelor,2,
imh-11-319,學士,Bachelor,2,
imh-11-319,學士,Bachelor,2,Bachelor
imh-11-32,學士,Bachelor,2,
