"","DocId","name","Organization","Position","category","category_main"
"1","imh-11-0","丁崇吉","Harvard University","US","education: higher","education"
"2","imh-11-1","刁慶湘","University of Pennsylvania","US","education: higher","education"
"3","imh-11-10","王寵惠","Yale University","US","education: higher","education"
"4","imh-11-100","周倫元","Lehigh University","US","education: higher","education"
"5","imh-11-101","周典","University of Pennsylvania","US","education: higher","education"
"6","imh-11-102","周宗華","Brown University","US","education: higher","education"
"7","imh-11-102","周宗華","University of Chicago","US","education: higher","education"
"8","imh-11-102","周宗華","Yale University","US","education: higher","education"
"9","imh-11-103","周詒春","University of Wisconsin","US","education: higher","education"
"10","imh-11-104","周象賢","Massachusetts Institute of Technology","US","education: higher","education"
"11","imh-11-105","卓康成","Cornell University","US","education: higher","education"
"12","imh-11-105","卓康成","Stanford University","US","education: higher","education"
"13","imh-11-106","卓鏞詩","Stanford University","US","education: higher","education"
"14","imh-11-107","林鑑誠","Cornell University","US","education: higher","education"
"15","imh-11-107","林鑑誠","University of Virginia","US","education: higher","education"
"16","imh-11-107","林鑑誠","University of Virginia","US","education: higher","education"
"17","imh-11-108","林彪","University of Wisconsin","US","education: higher","education"
"18","imh-11-109","林立","Central Wesleyan College","US","education: higher","education"
"19","imh-11-109","林立","State University of Iowa","US","education: higher","education"
"20","imh-11-109","林立","Syracuse University","US","education: higher","education"
"21","imh-11-11","王寵佑","Columbia University","US","education: higher","education"
"22","imh-11-11","王寵佑","University of California","US","education: higher","education"
"23","imh-11-110","易鼎新","Lehigh University","US","education: higher","education"
"24","imh-11-110","易鼎新","Lehigh University","US","education: higher","education"
"25","imh-11-110","易鼎新","Union College","US","education: higher","education"
"26","imh-11-111","胡其炳","Charles City College","US","education: higher","education"
"27","imh-11-112","胡昌鶴","Central Wesleyan College","US","education: higher","education"
"28","imh-11-112","胡昌鶴","De Pauw University","US","education: higher","education"
"29","imh-11-112","胡昌鶴","De Pauw University","US","education: higher","education"
"30","imh-11-112","胡昌鶴","New York University","US","education: higher","education"
"31","imh-11-112","胡昌鶴","New York University","US","education: higher","education"
"32","imh-11-113","胡先驌","University of California","US","education: higher","education"
"33","imh-11-114","胡鴻猷","University of Pennsylvania","US","education: higher","education"
"34","imh-11-115","胡憲生","Cornell University","US","education: higher","education"
"35","imh-11-116","胡棟朝","Cornell University","US","education: higher","education"
"36","imh-11-116","胡棟朝","University of California","US","education: higher","education"
"37","imh-11-117","胡克","Barnes University","US","education: higher","education"
"38","imh-11-117","胡克","South Western University","US","education: higher","education"
"39","imh-11-117","胡克","Vanderbilt University","US","education: higher","education"
"40","imh-11-118","胡詒穀","University of California","US","education: higher","education"
"41","imh-11-118","胡詒穀","University of Chicago","US","education: higher","education"
"42","imh-11-118","胡詒穀","University of Illinois","US","education: higher","education"
"43","imh-11-119","胡章","Boone School","US","education: secondary","education"
"44","imh-11-119","胡章","University of California","US","education: higher","education"
"45","imh-11-119","胡章","University of Iowa","US","education: higher","education"
"46","imh-11-119","胡章","University of Wisconsin","US","education: higher","education"
"47","imh-11-12","王恩澤","Harvard University","US","education: higher","education"
"48","imh-11-12","王恩澤","University of Chicago","US","education: higher","education"
"49","imh-11-120","胡潤德","American Medical College","US","education: higher","education"
"50","imh-11-120","胡潤德","Barnes University","US","education: higher","education"
"51","imh-11-121","胡繼賢","Columbia University","US","education: higher","education"
"52","imh-11-121","胡繼賢","University of Michigan","US","education: higher","education"
"53","imh-11-122","計大雄","Cornell University","US","education: higher","education"
"54","imh-11-123","郞國楨","University of Wisconsin","US","education: higher","education"
"55","imh-11-124","施振元","Cook Academy","US","education: higher","education"
"56","imh-11-124","施振元","Cornell University","US","education: higher","education"
"57","imh-11-125","施調元","Philadelphia Textile School","US","education: vocational","education"
"58","imh-11-125","施調元","University of Pennsylvania","US","education: higher","education"
"59","imh-11-126","施聯元","Ithaca High School","US","education: secondary","education"
"60","imh-11-126","施聯元","Philadelphia Textile School","US","education: vocational","education"
"61","imh-11-127","施肇基","Cornell University","US","education: higher","education"
"62","imh-11-127","施肇基","Washington High School","US","education: secondary","education"
"63","imh-11-128","施肇祥","Central High School","US","education: secondary","education"
"64","imh-11-128","施肇祥","Cornell University","US","education: higher","education"
"65","imh-11-129","施贊元","Central High School","US","education: secondary","education"
"66","imh-11-129","施贊元","George Washington University","US","education: higher","education"
"67","imh-11-129","施贊元","George Washington University","US","education: higher","education"
"68","imh-11-129","施贊元","George Washington University Hospital","US","education: higher","education"
"69","imh-11-13","王鑑和","Cornell University","US","education: higher","education"
"70","imh-11-130","施厚元","Cook Academy","US","education: higher","education"
"71","imh-11-130","施厚元","Mercersberg Academy","US","education: higher","education"
"72","imh-11-130","施厚元","University of Pennsylvania","US","education: higher","education"
"73","imh-11-131","姚觀順","Grass Valley High School","US","education: secondary","education"
"74","imh-11-131","姚觀順","Medhurst College","US","education: higher","education"
"75","imh-11-131","姚觀順","Norwich University","US","education: higher","education"
"76","imh-11-131","姚觀順","University of California","US","education: higher","education"
"77","imh-11-132","姚鍾琳","University of Pennsylvania","US","education: higher","education"
"78","imh-11-133","兪慶恩","University of Pennsylvania","US","education: higher","education"
"79","imh-11-134","柴春霖","University of Wisconsin","US","education: higher","education"
"80","imh-11-135","秦汾","Harvard University","US","education: higher","education"
"81","imh-11-136","徐良","Capital University","US","education: higher","education"
"82","imh-11-136","徐良","Columbia University","US","education: higher","education"
"83","imh-11-137","徐墀","Columbia University","US","education: higher","education"
"84","imh-11-137","徐墀","University of Illinois","US","education: higher","education"
