"","source","target","value"
"1","Anglo-Chinese College (Foochow)","Colorado School of Mines",1
"2","Anglo-Chinese College (Foochow)","Cornell University",1
"3","Anglo-Chinese College (Foochow)","Lehigh University",1
"4","Anglo-Chinese College (Foochow)","Tilton Seminary",1
"5","Anglo-Chinese College (Foochow)","University of Michigan",1
"6","Anglo-Chinese College (Foochow)","University of Wisconsin",1
"7","Anglo-Chinese College (Foochow)","Wesleyan Academy",1
"8","Anglo-Chinese College (Shanghai)","Columbia University",1
"9","Anglo-Chinese College (Shanghai)","Oberlin College",1
"10","Anglo-Chinese College (Shanghai)","Park College",1
"11","Anglo-Chinese College (Shanghai)","University of Missouri",1
"12","Anglo-Chinese College (Shanghai)","University of Virginia",1
"13","Anglo-Chinese College (Shanghai)","Virginia Episcopal High School",1
"14","Anglo-Chinese College (Tientsin)","Columbia University",1
"15","Anglo-Chinese College (Tientsin)","Cornell University",1
"16","Anglo-Chinese College (Tientsin)","Harvard Medical School",1
"17","Anglo-Chinese College (Tientsin)","Harvard University",1
"18","Anglo-Chinese College (Tientsin)","Massachusetts Agricultural College",1
"19","Anglo-Chinese College (Tientsin)","University of Pennsylvania",1
"20","Anglo-Chinese College (Tientsin)","Yale University",2
"21","Anglo-Chinese School (Singapore)","Ohio Wesleyan University",1
"22","Anglo-Chinese School (Singapore)","Yale University",1
"23","Anhui Provincial College","Harvard University",1
"24","Anhui Provincial College","Massachusetts Institute of Technology",1
"25","Anhui Provincial College","University of Illinois",1
"26","Anhui Provincial College","Wesleyan Academy",1
"27","Anti-Footbinding School","New York Private School",1
"28","Anti-Footbinding School","Northfield Seminary",1
"29","Aurora College","Brown University",1
"30","Aurora College","Yale University",1
"31","Billion's Public School","Forest Park University",1
"32","Billion's Public School","Wellesley College",1
"33","Boone University","Colorado College",1
"34","Boone University","Colorado School of Mines",1
"35","Boone University","Columbia University",2
"36","Boone University","Cook Academy",1
"37","Boone University","Cornell University",1
"38","Boone University","Harvard University",2
"39","Boone University","Lehigh University",1
"40","Boone University","New York Library School",1
"41","Boone University","Swarthmore Preparatory School",1
"42","Boone University","Syracuse University",1
"43","Boone University","Western Reserve University",1
"44","Boone University","Yale University",1
"45","Burnett's High School","Barnes University",1
"46","Burnett's High School","South Western University",1
"47","Burnett's High School","Vanderbilt University",1
"48","Canton Christian College","Amherst Agricultural College",1
"49","Canton Christian College","Army Service School",1
"50","Canton Christian College","Colorado School of Mines",1
"51","Canton Christian College","Columbia University",4
"52","Canton Christian College","Cornell University",1
"53","Canton Christian College","Kansas State Agricultural College",1
"54","Canton Christian College","Lehigh University",1
"55","Canton Christian College","Occidental College",1
"56","Canton Christian College","Pennsylvania State College",1
"57","Canton Christian College","Rensselaer Polytechnic Institute",1
"58","Canton Christian College","Syracuse University",1
"59","Canton Christian College","University of Michigan",1
"60","Canton Christian College","University of Wooster",1
"61","Canton Christian College","Wellesley College",1
"62","Canton Christian College","Williston Seminary",1
"63","Canton Educational Mission School","Iowa State College",1
"64","Canton Educational Mission School","Simpson College",1
"65","Canton Educational Mission School","University of California",1
"66","Canton Educational Mission School","University of Wisconsin",1
"67","Canton Middle School","Iowa State College",1
"68","Canton Middle School","Simpson College",1
"69","Canton Western College","University of Washington",1
"70","Cebu Chinese School","Tilton Seminary",1
"71","Cebu Chinese School","University of Michigan",1
"72","Cebu Chinese School","Wesleyan Academy",1
"73","Che-li School","Rochester East High School",1
"74","Che-li School","Rochester University",1
"75","Che-li School","Syracuse University",1
"76","Chekiang Provincial College","Harvard University",1
"77","Chekiang Provincial College","Yale University",1
"78","Cheng-Chih School","Cornell University",1
"79","Cheng-Chih School","University of Michigan",1
"80","Chihli Provincial College","Clark University",1
"81","Chihli Provincial College","Columbia University",1
"82","Chihli Provincial College","Massachusetts Institute of Technology",1
"83","Chihli Provincial College","Purdue University",1
"84","Chihli Provincial College","Worcester Polytechnic Institute",1
"85","Chihli Provincial College","Worcester Polytechnic Institute Y.M.C.A",1
"86","Ching-Kiang Middle School","Harvard University",1
"87","Ching-Kiang Middle School","Massachusetts Institute of Technology",1
"88","Chiu Shih School","Stanford University",1
"89","Chiu Shih School","University of California",1
"90","Chuen Hung School","New York University",1
"91","Eliza Yates School","National Kindergarten College",1
"92","Eliza Yates School","Oberlin College",1
"93","Fen-Chow Middle School","Oberlin Academy",1
"94","Fen-Chow Middle School","Oberlin College",1
"95","Fen-Chow Middle School","Yale University",1
"96","First Min-Li School","Central Wesleyan College",1
"97","First Min-Li School","De Pauw University",1
"98","First Min-Li School","New York University",1
"99","Foochow College","Cornell University",1
"100","Foochow College","Michigan College of Mines",1
"101","Fu Tan College","Colorado School of Mines",2
"102","Fu Tan College","Columbia University",1
"103","Fu Tan College","Cornell University",2
"104","Fu Tan College","Harvard University",1
"105","Fukien Provincial College","University of Chicago",1
"106","Fukien Provincial College","University of Pennsylvania",1
"107","Hangchow High School","Massachusetts Institute of Technology",1
"108","Hanlin Academy","Columbia University",2
"109","Hiroshima Girls' School","La George College",1
"110","Hongkong Technical Institute","Tufts College",1
"111","Honolulu High School","Columbia University",1
"112","Honolulu High School","Cornell University",1
"113","Honolulu High School","Lehigh University",1
"114","Honolulu High School","Stanford University",1
"115","Honolulu High School","Yale University",1
"116","Honolulu Public School","Columbia University",1
"117","Honolulu Public School","Healdsburg College",1
"118","Honolulu Public School","Valparaiso University",1
"119","Hui Ying School","University of California",1
"120","Hunan Provincial College","Oberlin College",1
"121","Hunan Provincial College","University of Michigan",1
"122","Hung Wen School","Harvard University",1
"123","Hung Wen School","University of Illinois",1
"124","Hung Wen School","University of Wisconsin",1
"125","Ih-Cu Middle School","Yale University",1
"126","Iolani College","American Medical College",1
"127","Iolani College","Barnes University",1
"128","Iolani School","Ohio State University",1
"129","Iolani School","State University of Iowa",1
"130","Iolani School","University of Chicago",1
"131","Kiangnan College","Cornell University",1
"132","Kiangnan College","Harvard University",1
"133","Kiangsi Provincial College","Harvard University",1
"134","Kiangsi Provincial College","Princeton University",1
"135","Kiangsi Provincial College","University of Illinois",1
"136","Kiangsi Provincial College","University of Wisconsin",1
"137","Kiangsi Provincial College","Wesleyan Academy",1
"138","Kiukiang First School","Berea College",1
"139","Kiukiang First School","Syracuse University",1
"140","Kiukiang First School","University of Michigan",1
"141","Kiukiang Girls' High School","Baker University",1
"142","Kiukiang Grammar School","Central Wesleyan College",1
"143","Kiukiang Grammar School","De Pauw University",1
"144","Kiukiang Grammar School","New York University",1
"145","Kwang Ya College","Columbia University",1
"146","Kwang Ya College","New York University",1
"147","Kwangtung High School","Cornell University",1
"148","Kwangtung High School","Simpson Academy",1
"149","Laura Hay Good Memorial School","New York Private School",1
"150","Laura Hay Good Memorial School","Northfield Seminary",1
"151","Li-Shing Scientific College","Colorado School of Mines",1
"152","Liangkwang College","Boone School",1
"153","Liangkwang College","University of California",1
"154","Liangkwang College","University of Iowa",1
"155","Liangkwang College","University of Wisconsin",1
"156","Liangkwang Educational Mission School","Cornell University",1
"157","Liangkwang Educational Mission School","Simpson Academy",1
"158","London Mission Girls' School","Columbia University",1
"159","London Mission Girls' School","University of Wooster",1
"160","London Mission Girls' School","Wellesley College",1
"161","Loong Men Normal School","A & M College",1
"162","Loong Men Normal School","University of Illinois",1
"163","Loong Men Normal School","University of Wisconsin",1
"164","Lowrie Institute","Columbia University",2
"165","Lowrie Institute","Park College",1
"166","Lowrie Institute","University of Missouri",1
"167","Lowrie Institute","University of Wooster",1
"168","Lowrie Institute","Wooster Academy",1
"169","Lowrie Institute","Y.M.C.A. College",1
"170","Lowrie Institute","Y.M.C.A. College Literary Society",1
"171","Macao Girls' School","Columbia University",1
"172","Macao Girls' School","University of Wooster",1
"173","Macao Girls' School","Wellesley College",1
"174","Manila Funo College","Ann Arbor High School",1
"175","Manila Funo College","Detroit University",1
"176","Manila Funo College","Grand Rapids Central High School",1
"177","Manila Funo College","University of Michigan",1
"178","McKinley High School","Columbia University",2
"179","McKinley High School","University of California",1
"180","McTyeire School","Columbia University",1
"181","McTyeire School","Cottey College",1
"182","McTyeire School","Eliza Yates School",1
"183","McTyeire School","Forest Park University",1
