DocId;work_country;province_py;province_py_std;city_py;work_province;work_city
imh-11-90;China;Jilin;Jilin;Harbin;吉林;哈爾濱
imh-11-312;China;Sichuan;Sichuan;Chengdu;四川;成都
imh-11-210;China;Sichuan;Sichuan;Chongqing;四川;重慶
imh-11-288;China;Sichuan;Sichuan;Chongqing;四川;重慶
imh-11-388;China;Sichuan;Sichuan;Yingjing;四川;滎經
imh-11-188;China;Anhui;Anhui;Hefei;安徽;合肥
imh-11-177;China;Shandong;Shandong;Jinan;山東;濟南
imh-11-99;China;Shandong;Shandong;Jinan;山東;濟南
imh-11-169;China;Shandong;Shandong;Penglai;山東;蓬萊
imh-11-261;China;Shandong;Shandong;Rizhao;山東;日照
imh-11-260;China;Shandong;Shandong;Wucheng;山東;武城
imh-11-390;China;Shanxi;Shanxi;Taiyuan;山西;太原
imh-11-65;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-252;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-189;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-195;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-391;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-58;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-136;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-364;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-158;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-66;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-57;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-320;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-282;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-383;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-369;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-233;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-199;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-56;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-121;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-143;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-326;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-201;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-251;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-131;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-336;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-155;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-322;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-156;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-17;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-354;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-84;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-119;China;Guangdong;Guangdong;Guangzhou;廣東;廣州
imh-11-114;China;Guangdong;Guangdong;Meixian;廣東;梅縣
imh-11-365;China;Guangdong;Guangdong;Nanhai;廣東;南海
